state_id,state_name,district_id,district_name
1,Andaman and Nicobar Islands,3,Nicobar
1,Andaman and Nicobar Islands,1,North and Middle Andaman
1,Andaman and Nicobar Islands,2,South Andaman
2,Andhra Pradesh,9,Anantapur
2,Andhra Pradesh,10,Chittoor
2,Andhra Pradesh,11,East Godavari
2,Andhra Pradesh,5,Guntur
2,Andhra Pradesh,4,Krishna
2,Andhra Pradesh,7,Kurnool
2,Andhra Pradesh,12,Prakasam
2,Andhra Pradesh,13,Sri Potti Sriramulu Nellore
2,Andhra Pradesh,14,Srikakulam
2,Andhra Pradesh,8,Visakhapatnam
2,Andhra Pradesh,15,Vizianagaram
2,Andhra Pradesh,16,West Godavari
2,Andhra Pradesh,6,"YSR District, Kadapa (Cuddapah)"
3,Arunachal Pradesh,22,Anjaw
3,Arunachal Pradesh,20,Changlang
3,Arunachal Pradesh,25,Dibang Valley
3,Arunachal Pradesh,23,East Kameng
3,Arunachal Pradesh,42,East Siang
3,Arunachal Pradesh,17,Itanagar Capital Complex
3,Arunachal Pradesh,24,Kamle
3,Arunachal Pradesh,27,Kra Daadi
3,Arunachal Pradesh,21,Kurung Kumey
3,Arunachal Pradesh,33,Lepa Rada
3,Arunachal Pradesh,29,Lohit
3,Arunachal Pradesh,40,Longding
3,Arunachal Pradesh,31,Lower Dibang Valley
3,Arunachal Pradesh,18,Lower Siang
3,Arunachal Pradesh,32,Lower Subansiri
3,Arunachal Pradesh,36,Namsai
3,Arunachal Pradesh,19,Pakke Kessang
3,Arunachal Pradesh,39,Papum Pare
3,Arunachal Pradesh,35,Shi Yomi
3,Arunachal Pradesh,37,Siang
3,Arunachal Pradesh,30,Tawang
3,Arunachal Pradesh,26,Tirap
3,Arunachal Pradesh,34,Upper Siang
3,Arunachal Pradesh,41,Upper Subansiri
3,Arunachal Pradesh,28,West Kameng
3,Arunachal Pradesh,38,West Siang
4,Assam,46,Baksa
4,Assam,47,Barpeta
4,Assam,765,Biswanath
4,Assam,57,Bongaigaon
4,Assam,66,Cachar
4,Assam,766,Charaideo
4,Assam,58,Chirang
4,Assam,48,Darrang
4,Assam,62,Dhemaji
4,Assam,59,Dhubri
4,Assam,43,Dibrugarh
4,Assam,67,Dima Hasao
4,Assam,60,Goalpara
4,Assam,53,Golaghat
4,Assam,68,Hailakandi
4,Assam,764,Hojai
4,Assam,54,Jorhat
4,Assam,49,Kamrup Metropolitan
4,Assam,50,Kamrup Rural
4,Assam,51,Karbi-Anglong
4,Assam,69,Karimganj
4,Assam,61,Kokrajhar
4,Assam,63,Lakhimpur
4,Assam,767,Majuli
4,Assam,55,Morigaon
4,Assam,56,Nagaon
4,Assam,52,Nalbari
4,Assam,44,Sivasagar
4,Assam,64,Sonitpur
4,Assam,768,South Salmara Mankachar
4,Assam,45,Tinsukia
4,Assam,65,Udalguri
4,Assam,769,West Karbi Anglong
5,Bihar,74,Araria
5,Bihar,78,Arwal
5,Bihar,77,Aurangabad
5,Bihar,83,Banka
5,Bihar,98,Begusarai
5,Bihar,82,Bhagalpur
5,Bihar,99,Bhojpur
5,Bihar,100,Buxar
5,Bihar,94,Darbhanga
5,Bihar,105,East Champaran
5,Bihar,79,Gaya
5,Bihar,104,Gopalganj
5,Bihar,107,Jamui
5,Bihar,91,Jehanabad
5,Bihar,80,Kaimur
5,Bihar,75,Katihar
5,Bihar,101,Khagaria
5,Bihar,76,Kishanganj
5,Bihar,84,Lakhisarai
5,Bihar,70,Madhepura
5,Bihar,95,Madhubani
5,Bihar,85,Munger
5,Bihar,86,Muzaffarpur
5,Bihar,90,Nalanda
5,Bihar,92,Nawada
5,Bihar,97,Patna
5,Bihar,73,Purnia
5,Bihar,81,Rohtas
5,Bihar,71,Saharsa
5,Bihar,96,Samastipur
5,Bihar,102,Saran
5,Bihar,93,Sheikhpura
5,Bihar,87,Sheohar
5,Bihar,88,Sitamarhi
5,Bihar,103,Siwan
5,Bihar,72,Supaul
5,Bihar,89,Vaishali
5,Bihar,106,West Champaran
6,Chandigarh,108,Chandigarh
7,Chhattisgarh,110,Balod
7,Chhattisgarh,111,Baloda bazar
7,Chhattisgarh,112,Balrampur
7,Chhattisgarh,113,Bastar
7,Chhattisgarh,114,Bemetara
7,Chhattisgarh,115,Bijapur
7,Chhattisgarh,116,Bilaspur
7,Chhattisgarh,117,Dantewada
7,Chhattisgarh,118,Dhamtari
7,Chhattisgarh,119,Durg
7,Chhattisgarh,120,Gariaband
7,Chhattisgarh,136,Gaurela Pendra Marwahi 
7,Chhattisgarh,121,Janjgir-Champa
7,Chhattisgarh,122,Jashpur
7,Chhattisgarh,123,Kanker
7,Chhattisgarh,135,Kawardha
7,Chhattisgarh,124,Kondagaon
7,Chhattisgarh,125,Korba
7,Chhattisgarh,126,Koriya
7,Chhattisgarh,127,Mahasamund
7,Chhattisgarh,128,Mungeli
7,Chhattisgarh,129,Narayanpur
7,Chhattisgarh,130,Raigarh
7,Chhattisgarh,109,Raipur
7,Chhattisgarh,131,Rajnandgaon
7,Chhattisgarh,132,Sukma
7,Chhattisgarh,133,Surajpur
7,Chhattisgarh,134,Surguja
8,Dadra and Nagar Haveli,137,Dadra and Nagar Haveli
9,Delhi,141,Central Delhi
9,Delhi,145,East Delhi
9,Delhi,140,New Delhi
9,Delhi,146,North Delhi
9,Delhi,147,North East Delhi
9,Delhi,143,North West Delhi
9,Delhi,148,Shahdara
9,Delhi,149,South Delhi
9,Delhi,144,South East Delhi
9,Delhi,150,South West Delhi
9,Delhi,142,West Delhi
10,Goa,151,North Goa
10,Goa,152,South Goa
11,Gujarat,154,Ahmedabad
11,Gujarat,770,Ahmedabad Corporation
11,Gujarat,174,Amreli
11,Gujarat,179,Anand
11,Gujarat,158,Aravalli
11,Gujarat,159,Banaskantha
11,Gujarat,180,Bharuch
11,Gujarat,175,Bhavnagar
11,Gujarat,771,Bhavnagar Corporation
11,Gujarat,176,Botad
11,Gujarat,181,Chhotaudepur
11,Gujarat,182,Dahod
11,Gujarat,163,Dang
11,Gujarat,168,Devbhumi Dwaraka
11,Gujarat,153,Gandhinagar
11,Gujarat,772,Gandhinagar Corporation
11,Gujarat,177,Gir Somnath
11,Gujarat,169,Jamnagar
11,Gujarat,773,Jamnagar Corporation
11,Gujarat,178,Junagadh
11,Gujarat,774,Junagadh Corporation
11,Gujarat,156,Kheda
11,Gujarat,170,Kutch
11,Gujarat,183,Mahisagar
11,Gujarat,160,Mehsana
11,Gujarat,171,Morbi
11,Gujarat,184,Narmada
11,Gujarat,164,Navsari
11,Gujarat,185,Panchmahal
11,Gujarat,161,Patan
11,Gujarat,172,Porbandar
11,Gujarat,173,Rajkot
11,Gujarat,775,Rajkot Corporation
11,Gujarat,162,Sabarkantha
11,Gujarat,165,Surat
11,Gujarat,776,Surat Corporation
11,Gujarat,157,Surendranagar
11,Gujarat,166,Tapi
11,Gujarat,155,Vadodara
11,Gujarat,777,Vadodara Corporation
11,Gujarat,167,Valsad
12,Haryana,193,Ambala
12,Haryana,200,Bhiwani
12,Haryana,201,Charkhi Dadri
12,Haryana,199,Faridabad
12,Haryana,196,Fatehabad
12,Haryana,188,Gurgaon
12,Haryana,191,Hisar
12,Haryana,189,Jhajjar
12,Haryana,204,Jind
12,Haryana,190,Kaithal
12,Haryana,203,Karnal
12,Haryana,186,Kurukshetra
12,Haryana,206,Mahendragarh
12,Haryana,205,Nuh
12,Haryana,207,Palwal
12,Haryana,187,Panchkula
12,Haryana,195,Panipat
12,Haryana,202,Rewari
12,Haryana,192,Rohtak
12,Haryana,194,Sirsa
12,Haryana,198,Sonipat
12,Haryana,197,Yamunanagar
13,Himachal Pradesh,219,Bilaspur
13,Himachal Pradesh,214,Chamba
13,Himachal Pradesh,217,Hamirpur
13,Himachal Pradesh,213,Kangra
13,Himachal Pradesh,216,Kinnaur
13,Himachal Pradesh,211,Kullu
13,Himachal Pradesh,210,Lahaul Spiti
13,Himachal Pradesh,215,Mandi
13,Himachal Pradesh,208,Shimla
13,Himachal Pradesh,212,Sirmaur
13,Himachal Pradesh,209,Solan
13,Himachal Pradesh,218,Una
14,Jammu and Kashmir,224,Anantnag
14,Jammu and Kashmir,223,Bandipore
14,Jammu and Kashmir,225,Baramulla
14,Jammu and Kashmir,229,Budgam
14,Jammu and Kashmir,232,Doda
14,Jammu and Kashmir,228,Ganderbal
14,Jammu and Kashmir,230,Jammu
14,Jammu and Kashmir,234,Kathua
14,Jammu and Kashmir,231,Kishtwar
14,Jammu and Kashmir,221,Kulgam
14,Jammu and Kashmir,226,Kupwara
14,Jammu and Kashmir,238,Poonch
14,Jammu and Kashmir,227,Pulwama
14,Jammu and Kashmir,237,Rajouri
14,Jammu and Kashmir,235,Ramban
14,Jammu and Kashmir,239,Reasi
14,Jammu and Kashmir,236,Samba
14,Jammu and Kashmir,222,Shopian
14,Jammu and Kashmir,220,Srinagar
